raw_name,standard_name,foreign_name,years,original_note,references,source_pdf,source_page,needs_review
"尤罗夫斯基","","","","雅•姆• 印涅萨• 886","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","87","true"
"尤马古洛夫","","","","哈•尤 印萨罗夫 886 尤尼乌斯• 印萨罗娃 886","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","87","true"
"尤努索夫","","","","库•• 鹰⋯ 886","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","87","true"
"尤诺夫","","","","尤•姆• 英•；英诺森也夫：英诺森","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","87","true"
"尤诺索夫","","","","康•安• 英诺⋯ 886","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","87","true"
"尤沙柯夫","","","","谢•尼•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","87","true"
"英格尔曼","","","","谢 米• 886","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","87","true"
"尤仔凯维奇","","","","巴•索•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","87","true"
"英格拉姆","","","","约•凯• 887 尤佐夫 尤•⋯ 887 犹大 尤•；尤•；尤里• 887 幼芽• 尤•奥•；尤利 887 鱼雷艇 尤•加• 887","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","87","true"
"宇伯威格","","","","弗•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","87","true"
"尤登尼奇","","","","尼•尼• 887","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","87","true"
